2010/05/21
We |heard| the good news.~hurd
Is this |your| book?~yohr
|you're| going to have to show up early on Monday.~yohr
The cows were out in the |field|.~feeld
I'm going to |buy| a bicycle with the money I save.~bahy
He asked a |friend| to help him out.~frend
I bet you can't |guess| what I got you for your birthday!~ges
A |cousin| is your aunt and uncle's son or daughter.~kuhz-uhn
I plan to |build| a model airplane.~bild
He has a very large |family|.~fam-uh-lee
I |can't| lift that much weight.~kant
I |cannot| lift that much weight.~ka-not
He |didn't| notice that the light had changed.~did-nt
I |haven't| been to that restaurant lately.~hav-uhnt
I |don't| think I have time to finish that project.~dohnt
I plan to |exchange| that shirt because it's the wrong size.~iks-cheynj
I was |truly| grateful for all the help I received.~troo-lee
She |benefited| a lot from her education.~ben-uh-fit-id
We measure our |height| on the closet wall.~hahyt
I'm not sure I |believe| your story.~bih-leev
She |received| an invitation to the party.~ri-seevd
