2010/04/23
The Constitution secures our |liberties|.~lib-er-tees
Many |countries| send athletes to the Olympics.~kuhn-trees
The army had many |victories| this month.~vik-tuh-rees
The secret agent |spied| on the foreign visitors.~spahyd
The military defeated all but one of their |enemies|.~en-uh-mees
The foreign |armies| invaded our country.~ahr-mees
The |scariest| thing about the movie for me was when the monster jumped out.~skair-ee-ist
My clothes were much |dirtier| at the end of the day than at the beginning.~dur-tee-ur
Getting together with his friends brought him much |happiness|.~hap-ee-nis
I |pitied| those who had to stay in for recess.~pit-eed
"|ladies| and gentlemen, I present to you, The Great Houdini!"~ley-dees
No one was |busier| than I was getting ready for the trip.~biz-ee-ur
The soldier felt it was important for him to complete all of his |duties|.~doo-tees
Her favorite flowers are |lilies|.~lil-ees
He wasn't so sure about the |worthiness| of his work.~wur-thee-nis
His derby car was the |tiniest| in the race.~tahy-nee-ist
The |emptiness| of the room after school was a welcome sight.~emp-tee-nis
It seemed like my friend didn't even listen to my |replies|.~ri-plahys
The |dizziness| I was experiencing made it really difficult to walk.~diz-ee-nis
The poor grades he got made him question his own |abilities|.~uh-bil-i-tees
The students were |unified| in opposition to a longer school day.~yoo-nuh-fahyd
The King |levied| a new tax, which really angered the Colonists.~lev-eed
The |colonies| eventually declared their independence from England.~kol-uh-nees
That is the |loveliest| flower I've ever seen!~luhv-lee-ist
The general had a number of |strategies| in mind for defeating their enemy.~strat-i-jees
