Words Logan Misspells
We weren't |technically| present at the event.~tek-ni-kuhl-ee
We |happened| to see her at the Halloween party.~hap-uhnd
|didn't| the Thunderbirds show up at the disaster site?~did-nt
We saw a |buffalo| on the great plains.~buhf-uh-loh
John is a very caring |friend|.~frend
The men went fur |trapping| out in the wilderness.~trap-ing
The class went on a |field| trip.~feeld
We saw dinosaur bones at the |museum|.~myoo-zee-uhm
Luke Skywalker joined the |rebellion|.~ri-bel-yuhn
It seemed like an |impossible| assignment.~im-pos-uh-buhl
Darth Vadar is quite the |villain|.~vil-uhn
She looked forward to retirement and a life of |leisure|.~lee-zher
I really needed someone to help me move the |furniture|.~fur-ni-cher
The dew left a film of |moisture| on our car.~mois-cher
The heart |surgeon| saved the little boy's life.~sur-juhn
The birds like to play in the |fountain|.~foun-tn
The |mountain| was covered with snow.~moun-tn
I |learned| a lot from reading that book.~lurnd
