2010/04/30
He was |unable| to swim.~uhn-ey-buhl
A five degree |correction| will put the ship on course.~kuh-rek-shuhn
|native| guides accompanied the expedition through the rain forest.~ney-tiv
A vast |distance| of water surrounded the ship.~dis-tuhns
|spinach| makes Popeye strong.~spin-ich
The |vulture| ate the dead animal.~vuhl-cher
Please close the |curtain| before you leave.~kur-tn
I'm not sure how his house could be any |dirtier|.~dur-tee-er
The secret agent |spied| on the foreign visitors.~spahyd
The pirates were looking for hidden |treasure|.~trezh-er
I wonder when he'll |discover| he left his wallet at home.~dih-skuhv-er
The sergeant will |inspect| the barracks later today.~in-spekt
There was a lot of |tension| in the spring.~ten-shuhn
What is your native |language|?~lang-gwij
She didn't know how to |respond| to his request.~ri-spond
The ship was on a very long |voyage|.~voi-ij
He gets a lot of |pleasure| from listening to music.~plezh-er
Many |countries| send athletes to the Olympics.~kuhn-trees
Getting together with his friends brought him much |happiness|.~hap-ee-nis
We decided to move the |furniture| in our living room.~fur-ni-cher
He was given a |promotion| at his work.~pruh-moh-shuhn
We weren't really sure how to |react| to the news.~ree-akt
The bunny was made of |solid| chocolate.~sol-id
Did you |notice| how much weight I lost?~noh-tis
A bomb that big could |destroy| an entire building.~dih-stroi
We all climbed the |mountain| peak.~moun-tn
We all went on an |adventure| through the jungle.~ad-ven-cher
No one was |busier| than I was getting ready for the trip.~biz-ee-er
I |pitied| those who had to stay in for recess.~pit-eed
The |scariest| thing about the movie for me was when the monster jumped out.~skair-ee-ist
That is the |loveliest| flower I've ever seen!~luhv-lee-ist
The whole class went to play |except| for Tony.~ik-sept
The |colonies| eventually declared their independence from England.~kol-uh-nees
She didn't want to |discourage| him regarding his grades.~dih-skur-ij
The |architecture| of the building was a sight to behold!~ahr-ki-tek-cher
